CODIGO;CODIGO_BARRAS;DESCRICAO;GRUPO;TAMANHO;NCM;PRECO_CUSTO;MARGEM_LUCRO;PRECO_VENDA;ESTOQUE_MINIMO;ESTOQUE_MAXIMO;ESTOQUE_ATUAL;UNIDADE;CONTROLA_ESTOQUE;CFOP;CSOSN;CST;ICMS;ATIVO;EXIBIR_TELA;SOLICITA_QUANTIDADE;PERMITIR_COMBINACAO;CEST;CST_PIS;PIS;CST_COFINS;COFINS
202;;PIZZA DOCE - ROMEU E JULIETA ;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-3;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
203;;PIZZA DOCE - I;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-4,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
204;;PIZZA ESPECIAL - CAMARAO;PIZZA ; MEDIA;19022000.0;0;0;40;0;0;-7,5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
205;;PIZZA SIMPLES - CALABRESA ;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-57,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
206;;PIZZA SIMPLES - CAIPIRA;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-6,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
207;;PIZZA SIMPLES - BAIANA ;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-2;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
208;;PIZZA SIMPLES - CALACHEDDAR;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-2,5;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
209;;PIZZA SIMPLES - FRANCHEDDAR;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-1;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
210;;PIZZA SIMPLES - MARGUETITA;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-5;UNID;S;5102;102;40.0;0;S;S;N;S;1704802.0;49;0;;0
211;;PIZZA SIMPLES - MISTA 1;PIZZA ; GRANDE;19022000.0;0;0;45;0;0;-6;UNID;S;5102;102;40.0;0;S;S;N;N;1704802.0;49;0;;0
